id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
614541517550356742,"♥ Lovely Studio - Spotless, W/D, Parking, Private",14768911,Gina And Oscar,,North Cambridge,42.406933,-71.140083,Entire home/apt,125,4,12,2022-08-27,2.50,3,294,12,
614662890482582714,(T5) Stylish Studio in the South End!,331225367,Stone,,Area 2/MIT,42.34074,-71.07696,Entire home/apt,224,1,23,2022-09-08,5.75,64,140,23,Exempt: This listing is a unit that has contracts with hospitals
615078951681055283,"Cambridge Alewife 1BR w/ Gym, nr shops & T",107434423,Blueground,,Cambridge Highlands,42.389,-71.1446,Entire home/apt,184,32,0,,,383,298,0,""
615083974254655575,Exquisite Central Sq 2BR,107434423,Blueground,,Cambridgeport,42.36444,-71.1047,Entire home/apt,252,32,1,2022-08-20,0.88,383,362,1,
615627054340788049,"Theatre District 1BR w/ Gym & W/D, nr Boylston T",107434423,Blueground,,Area 2/MIT,42.3511858,-71.06401699999999,Entire home/apt,275,32,0,,,383,0,0,
616571757662863762,Classic Cambridge House in the Heart of the City,86944816,Nicanor,,Riverside,42.36682,-71.11045,Entire home/apt,235,90,4,2022-06-18,0.98,1,258,4,
616616290168209593,City Oasis | Step into Public Garden & Back Bay,258974203,Sophia,,Area 2/MIT,42.35624126801869,-71.07334894900275,Entire home/apt,234,29,1,2022-06-03,0.27,3,223,1,Exempt: This listing is a unit used for furnished institutional or business stays
616846869203215900,Perfect location and Prices! 1B1,244600805,Bay Village,,Area 2/MIT,42.34733,-71.06931,Entire home/apt,171,3,5,2022-08-29,1.83,20,66,5,STR-415226
617045331988491234,"Clean Studio, Ready For Long & Short Stays",205269848,Temple Place,,Area 2/MIT,42.35452,-71.06336,Private room,158,2,10,2022-09-02,2.91,15,227,10,STR-439290
617690889504683980,"Downtown Studio Apt, Lots of Natural Light",2356643,MyBostonTrip,,Area 2/MIT,42.35058418854359,-71.06430215089806,Entire home/apt,118,2,11,2022-09-01,2.46,35,329,11,STR-423036
617924825724516696,"Corporate Style Studio near MGH, State House, Boston Common",2356643,MyBostonTrip,,East Cambridge,42.3577,-71.06378,Entire home/apt,176,2,14,2022-08-25,3.82,35,305,14,STR-428031
617924872108038105,Simple furnished Studio in the Heart of Boston,2356643,MyBostonTrip,,East Cambridge,42.35875,-71.06366,Entire home/apt,123,2,15,2022-08-31,4.09,35,331,15,STR-428031
617976038177988598,Great Value South End Studio!,409684302,Justin And Mandy,,Area 2/MIT,42.34121,-71.08058,Entire home/apt,317,1,0,,,32,345,0,Exempt: This listing is a hotel or motel
618155510192385373,Grand 4+br 3.5ba Harvard Mansion Cambridge Cosmo,115369531,V,,Agassiz,42.38510717547597,-71.11804194151115,Entire home/apt,947,2,0,,,1,151,0,STR-189286
618440319925813406,Sunny Private Room in Shared Apt,2356643,MyBostonTrip,,Agassiz,42.3908528504518,-71.09203731965869,Private room,47,25,0,,,35,332,0,
618445845546934829,Private Room w/ twin Alcove near Charles River,2356643,MyBostonTrip,,West Cambridge,42.36108,-71.14471,Private room,83,2,4,2022-08-03,0.87,35,317,4,STR-461419
618451814039791045,"Sleek & Bright Private Room, Co-living near BU",2356643,MyBostonTrip,,Cambridgeport,42.350090155193065,-71.11960566895064,Private room,59,25,1,2022-08-27,1,35,73,1,
618455221000619189,Modern Minimalist Room with en suite Bath near Tufts/Brigham/MGH/BMC,2356643,MyBostonTrip,,Cambridgeport,42.35013982706421,-71.11965904156057,Private room,59,25,1,2022-08-31,1,35,34,1,
618669349044634860,Harlow building by Harvard with Modern furnishings,1788405,Jared,,Neighborhood Nine,42.38283,-71.12331,Entire home/apt,190,364,0,,,1,144,0,
618715040520766667,Gorgeous Victorian house near Harvard 3 bedrooms,40819826,Marc,,Neighborhood Nine,42.38583,-71.12011,Entire home/apt,375,6,1,2022-05-23,0.24,1,141,1,
619253446291935967,"Theatre District 1BR w/ Gym & W/D, nr Boylston T",107434423,Blueground,,Area 2/MIT,42.3511858,-71.06401699999999,Entire home/apt,247,32,0,,,383,354,0,
619695606093904234,BEDROOM IN THE BEST LOCATION IN CAMBRIDGE,15739330,Rod,,Riverside,42.3681,-71.10831,Private room,150,6,6,2022-08-27,1.38,1,15,6,
620130739165220960,Somerville on the Park,29092217,Jason,,Wellington-Harrington,42.39336,-71.08834,Entire home/apt,235,3,6,2022-08-27,2.61,1,0,6,
620351115192130942,A quiet peaceful studio in the heart of Cambridge,16241860,Isabel,,The Port,42.36955,-71.10055,Entire home/apt,184,1,31,2022-09-05,6.74,7,317,31,
620451076062142750,"Peaceful, mid-Cambridge room with private en suite",16241860,Isabel,,Mid-Cambridge,42.36996,-71.10218,Private room,135,1,32,2022-09-01,7.11,7,295,32,
620531678272781158,Cozy 2-bedroom apartment in downtown Boston,380623623,Sofia,,East Cambridge,42.360752,-71.065987,Entire home/apt,126,29,0,,,10,307,0,
620556935741785812,Lovely studio in downtown boston,373675137,Liya,,East Cambridge,42.36153,-71.06487,Entire home/apt,95,29,1,2022-08-31,1,81,281,1,
620559519758727382,Lovely 2 bed 2 bath beacon hill downtown boston,373675137,Liya,,East Cambridge,42.36182,-71.0654,Entire home/apt,221,29,0,,,81,287,0,
620726146347136814,"Cambridgeport 1BR w/ W/D & Gym, nr Boston U & MIT",107434423,Blueground,,Cambridgeport,42.3566191,-71.1062769,Entire home/apt,223,32,0,,,383,339,0,""
620726386166322193,Stunning S. End Studio,107434423,Blueground,,Area 2/MIT,42.33884,-71.08177,Entire home/apt,199,32,0,,,383,316,0,
620830858423641152,Authentic Brownstone Boston Studio!,409684302,Justin And Mandy,,Area 2/MIT,42.34224,-71.07861,Entire home/apt,688,14,0,,,32,338,0,Exempt: This listing is a hotel or motel
620845455818869883,"Beautiful, fully equipped, luxury condo!",423270067,Harry And Susie,,Area 2/MIT,42.34359,-71.08119,Entire home/apt,989,1,0,,,29,336,0,Exempt: This listing is a unit used for furnished institutional or business stays
620873135155545376,Upscale Apt with Private Work From Anywhere Office,423270067,Harry And Susie,,Area 2/MIT,42.3447,-71.08348,Entire home/apt,779,1,0,,,29,345,0,Exempt: This listing is a unit used for furnished institutional or business stays
620874447347342376,Stylish Flex-cation Space in Back Bay!,423270067,Harry And Susie,,Area 2/MIT,42.34336,-71.08173,Entire home/apt,490,1,20,2022-09-09,4.48,29,344,20,Exempt: This listing is a unit used for furnished institutional or business stays
620875895680909013,Stylish Flex-cation Space in Back Bay!,423270067,Harry And Susie,,Area 2/MIT,42.34424,-71.08117,Entire home/apt,808,1,0,,,29,344,0,Exempt: This listing is a unit used for furnished institutional or business stays
620887091763907399,Cozy Bedroom in 3BR between MIT and Harvard,21631889,Ling Yi,,The Port,42.36765,-71.09848,Private room,65,110,0,,,14,177,0,
622389945250297747,"Art-filled, private room in mid-Cambridge",16241860,Isabel,,Mid-Cambridge,42.37008,-71.10227,Private room,86,1,31,2022-09-06,6.99,7,247,31,
622636671975347436,Fenway! MFA! Longwood Med! NEU! BU!,799496,Kj,,Area 2/MIT,42.34337,-71.10197,Entire home/apt,239,28,0,,,3,273,0,Exempt: This listing is a unit used for furnished institutional or business stays
623160987006725660,2 Bed with Work From Anywhere Office & Fast Wifi!,423270067,Harry And Susie,,Area 2/MIT,42.34368,-71.08195,Entire home/apt,796,1,0,,,29,339,0,Exempt: This listing is a unit used for furnished institutional or business stays
623174295658849560,Modern Studio with Great Wifi and Amenities!,409684302,Justin And Mandy,,Area 2/MIT,42.34135,-71.07877,Entire home/apt,339,14,0,,,32,334,0,STR-457097
623835892765058460,1st floor private room with private en-suite,16241860,Isabel,,Mid-Cambridge,42.36939,-71.10237,Private room,85,1,27,2022-09-07,6.48,7,292,27,
623961563501401503,"Charming, peaceful room in mid-Cambridge",16241860,Isabel,,Mid-Cambridge,42.37122,-71.10205,Private room,102,1,21,2022-09-02,4.77,7,269,21,
624369083955082959,MIT/Harvard/Kendall/Central 3Br with Parking,458543134,Vivian,,The Port,42.36701,-71.09486,Entire home/apt,235,2,27,2022-09-16,6.53,1,278,27,STR-150871
624541300397031900,Awesome studio in South End with wifi and parking,409684302,Justin And Mandy,,Area 2/MIT,42.34276,-71.07856,Entire home/apt,300,1,10,2022-09-16,2.38,32,352,10,STR-457097
625823728061276620,"E. Cambridge Studio w/ Gym & W/D, nr Lechmere T",107434423,Blueground,,East Cambridge,42.370595,-71.074224,Entire home/apt,187,32,0,,,383,277,0,""
625824021434996394,Gorgeous Back Bay 1BR w/ W/D & Gym,107434423,Blueground,,Area 2/MIT,42.34992,-71.06943,Entire home/apt,243,32,0,,,383,301,0,
627361783452114215,Luxury Very Large 2 Bedroom Apartment,19788941,Jean Manuel,,East Cambridge,42.369796229699006,-71.07040962413116,Entire home/apt,199,1,4,2022-09-18,1.03,7,1,4,
627562151397485626,"1HB Renovated North End, TDGarden apartment",3637081,Sarah,,East Cambridge,42.36746,-71.05418,Entire home/apt,232,2,28,2022-08-31,7.71,13,243,28,Exempt: This listing is a unit used for furnished institutional or business stays
627996566570185451,"Somerville Studio w/ Gym & W/D, nr Green Line",107434423,Blueground,,East Cambridge,42.36595,-71.06347,Entire home/apt,234,32,0,,,383,298,0,
627996986592525851,"N. Station Studio w/ W/D & Gym, nr TD Garden",107434423,Blueground,,East Cambridge,42.364773,-71.063143,Entire home/apt,196,32,0,,,383,331,0,
628133487809262501,Sunlit Corner Room in Shared Apt Near Everything,2356643,MyBostonTrip,,West Cambridge,42.36149,-71.14515,Private room,62,2,2,2022-06-17,0.55,35,334,2,STR-461419
628141126487322357,"Darling Studio For Two, Perfect Location",205269848,Temple Place,,East Cambridge,42.35584,-71.06128,Private room,191,2,0,,,15,0,0,STR-439290
628162153649218659,Spacious Back Bay Condo with Great Amenities!,423270067,Harry And Susie,,Area 2/MIT,42.34372,-71.08126,Entire home/apt,463,1,12,2022-09-07,3.16,29,329,12,Exempt: This listing is a unit used for furnished institutional or business stays
628297796477850443,Brighton/Brookline/Allston suite + Free Parking,459432105,Irina,,West Cambridge,42.346661,-71.139252,Entire home/apt,125,2,37,2022-09-18,8.81,1,115,37,STR-479831
628300360502747892,Private furnished Room  by Harvard/Long term stay,34191455,Manoj,,Agassiz,42.38452,-71.10956,Private room,99,15,0,,,18,174,0,
630224160210803562,Beautiful modern 2bed 2bath in Fenway heart,158837906,Hashouki,,Area 2/MIT,42.348420009823585,-71.10062957021334,Entire home/apt,399,10,1,2022-08-04,0.60,43,365,1,Str-026961
630650412970373017,"Lakeview In-law suite, Private Entrance-Room1",36445555,Show,,North Cambridge,42.40868,-71.16101,Entire home/apt,99,1,16,2022-09-19,4.36,2,354,16,
630997334269195548,Awesome Apt in the Heart of Back Bay!,423270067,Harry And Susie,,Area 2/MIT,42.34545,-71.08348,Entire home/apt,1023,1,0,,,29,345,0,Exempt: This listing is a unit used for furnished institutional or business stays
631000352683237222,Heart of Back Bay! Close to Prudential Center and The T!,423270067,Harry And Susie,,Area 2/MIT,42.34359,-71.08336,Entire home/apt,565,1,8,2022-08-17,2.11,29,346,8,Exempt: This listing is a unit used for furnished institutional or business stays
631002869915516131,"Bright Condo, Plenty of Room, Sleeps Upto 8",423270067,Harry And Susie,,Area 2/MIT,42.3448,-71.0834,Entire home/apt,1054,1,2,2022-07-27,0.73,29,327,2,Exempt: This listing is a unit used for furnished institutional or business stays
631118154967104383,Sunny Room #2 Free Parking,108560094,Lixia,,West Cambridge,42.35587,-71.15837,Private room,59,1,14,2022-08-24,3.53,3,168,14,STR-455785
631422787329168204,Hotel near T - Scholar or Victorian or Townhouse,162885740,Hong,,North Cambridge,42.393642,-71.12606,Private room,160,1,16,2022-09-08,3.90,18,35,16,
631769505208693090,Historic renovated 4br home walkable to Harvard,99145869,Sophie,,Agassiz,42.382839189787305,-71.1172553662255,Entire home/apt,500,30,0,,,1,207,0,C0364410491
633058908634454665,"Downtown 1BR w/ Gym, W/D & Concierge nr S. Station",107434423,Blueground,,East Cambridge,42.35376,-71.05305,Entire home/apt,347,32,0,,,383,35,0,
633276447851296684,Lovely 4 bedroom / 2 bathroom rental unit,21146457,Sebastián,,Mid-Cambridge,42.3755,-71.10715,Entire home/apt,800,2,1,2022-06-12,0.29,1,0,1,
633854652506051952,"Brookline 1BR, steps to Green Line",107434423,Blueground,,Cambridgeport,42.3429191,-71.119517,Entire home/apt,193,32,0,,,383,291,0,
633889528816089164,Stylish living in the heart of Backbay new in Abnb,35974790,Murat,,Area 2/MIT,42.35063934326172,-71.08123779296875,Entire home/apt,250,29,2,2022-08-28,0.97,1,289,2,
634046951984427934,"Ellie 6- Back Bay, First floor, Location!",331225367,Stone,,Area 2/MIT,42.34297,-71.08389,Entire home/apt,265,1,16,2022-09-08,4.53,64,97,16,Exempt: This listing is a unit that has contracts with hospitals
634543996402935327,"Kendall Sq 2BR w/ Gym, nr MIT & Mass General",107434423,Blueground,,East Cambridge,42.36624,-71.0841,Entire home/apt,252,32,0,,,383,311,0,""
634865431273183644,"Cozy, adorable 1 bedroom private apartment M365-2",32532791,Marie,,Area 2/MIT,42.344532,-71.079376,Entire home/apt,275,3,9,2022-09-04,2.97,8,166,9,STR-468730
